parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
1,0,500,49.45,50,2.5438263760679396,45,54,47,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.8565,46.414,2.8310645105963057,35.794,48.764,44.040800000000004,48.258,6.667426324335084,6.700789360628574,0.6255557609573287,4.83854978273449,7.586687287611104,6.126368419564301,7.356463735563183,0.5705020297818424,0.5670857242772851,0.02097330772694172,0.5192824933031197,0.6048148715571594,0.5508955878831937,0.5994827476130717,0.8531208271977091,0.848598933134639,0.038451562971486226,0.7991806441547225,0.9514009818723647,0.81162876097932,0.898194680972268,0.7331575657671083,0.7529979617275506,0.06322532374195043,0.5120927024017565,0.7935030482203445,0.6808312053850966,0.7782757951297368,99.5,99.5,7.674290640971663,74,108,93.89999999999999,107.1,70.05,71,7.619055059520177,49,81,62,77.20000000000002,0.9787727638494228,0.9287439613526569,0.13834248021390547,0.8,1.2666666666666666,0.836952380952381,1.1730769230769234,11.75,12,0.9665456669582609,10,13,10,13,794.2971924693902,794.5552675914964,51.98746918483385,673.2370371121156,877.3230719204515,725.0131870644373,855.7222279613918,0.0011009412205136271,0.00107727553385512,0.00006979326887259518,0.001042414667610951,0.0013309026071833836,0.001053875324665789,0.001154023928294537,2.312238170043862,2.3135051271488782,0.01081421606347562,2.270643021591682,2.3208396243145395,2.309250722839651,2.3203370555133724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,500,44.45,45,1.959457497423847,40,47,41.9,47,0,0,0,0,0,0,0,500,500,0,500,500,500,500,37.2008,37.345,1.6514788779183722,33.852,39.846,35.132000000000005,39.0294,5.398214206370648,5.3313674786691,0.4121182535174068,4.721922913390272,6.317142075337555,4.928381964956359,5.827174749090669,0.574291215324621,0.5775085733809033,0.017702467268904003,0.537190765350013,0.6040028178839819,0.5503910704991278,0.5919193766973734,0.8352411151532552,0.8278653048404594,0.03312824727827639,0.7655299331293592,0.8966270480254565,0.8037232239745066,0.8770265488737459,0.6396300430554491,0.6320255681841761,0.05013764675016315,0.5429529129668946,0.7351883991592251,0.5904619762711281,0.7106565613891385,134.45,135,10.215957589657673,110,151,123.5,146,110,110.5,9.414434605825695,89,124,98.6,121,1.0663422819621196,1.0895721925133688,0.08056954142622988,0.8666666666666667,1.1923076923076923,0.9666118421052632,1.1428571428571428,10,10,0,10,10,10,10,398.0725646301444,395.59907182038404,19.52337450361378,359.5603148806838,433.83290866743107,374.98412686264606,426.24999553421975,0.002717688688643105,0.0026476664627317183,0.00028197803352716233,0.0023120795592817653,0.0034023579696710257,0.0024786134247558943,0.003033020589759268,2.3055389555069645,2.3097928009423887,0.012439540358887004,2.2768721770825024,2.319567660773204,2.289450902429537,2.3167863150163743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,500,40.9,41,2.989455151906976,34,46,36.9,44.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,35.1616,35.074,1.7654904313413573,31.164,37.894,33.333800000000004,37.60999999999999,5.038802491768248,5.07184044685104,0.3274241558623955,4.626186334336297,5.643050239010817,4.64821913072099,5.498003377037557,0.5800792726541392,0.5845200620061266,0.014918794870321864,0.5551431559745614,0.6082601838354995,0.5604965545915407,0.6004117717131277,0.8521750395673264,0.8515308497036476,0.04581738249768602,0.7784691900314554,0.9281716933744529,0.8001135324417787,0.9183442771785914,0.7286224962916277,0.717415125584854,0.053402050715032755,0.6079610774855698,0.8794550540299552,0.6964195466306919,0.766620809384281,135.4,138,10.840469983985207,107,149,121.89999999999999,146,114.5,118,10.76299703907596,90,127,98.69999999999999,125.10000000000001,1.0511966385486122,1.0125,0.12139953300076045,0.8974358974358975,1.375,0.9457957957957958,1.213425925925926,10,10,0,10,10,10,10,261.58295382385165,260.48944851374245,13.994604675391166,235.19764351865314,297.27873636838456,246.82221953112023,274.9969873957311,0.0035198468949842986,0.003491245558589616,0.0004915695799602065,0.002476944747646435,0.0043454402463904114,0.0030080034545612983,0.00425182061251229,2.290232568758953,2.291722016514549,0.025783585449634962,2.2268005322894506,2.320251394545381,2.253447497859533,2.3152528321113643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,500,41.05,41,1.8202082009311025,38,44,39,43.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,34.9239,34.474999999999994,1.2540090614966826,33.208,37.756,33.6428,36.430200000000006,4.896338680786947,4.87478650252004,0.36514528187174644,4.200500446375415,5.6924384932996865,4.522099198401497,5.32204624979057,0.5732593477615728,0.5771400281740013,0.018443568012231803,0.5257946434495199,0.5935737720036759,0.5488323104256612,0.5926810654936695,0.8236128089096677,0.8183904702866933,0.04215092500218047,0.7379337062836905,0.9112692607012957,0.7806334836007289,0.8786961797346193,0.7490241363542769,0.7444679277914741,0.03439254096629287,0.6913378650631156,0.8029849875250172,0.7065939719025497,0.7893857754187602,129.35,129,8.1516869419771,113,144,118.7,141,108.3,108.5,7.994076754566141,92,121,97.80000000000001,119.1,1.004230261655243,1,0.08255539279319622,0.8461538461538461,1.1612903225806452,0.9177247014456318,1.121590909090909,10,10,0,10,10,10,10,206.17457672587108,206.72379794850085,13.856500683540396,179.13089394974057,228.16699182484584,192.3897407087057,224.5852333058001,0.004201721569082212,0.004138696778718989,0.00038513378222943315,0.0037536715600562562,0.005355850810769195,0.003786338385847747,0.004565376976299407,2.3010658457922193,2.308024631039266,0.016273916745370536,2.2649282305183736,2.319979540544217,2.2792399500042713,2.3154841972403166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,500,40.65,40.5,2.8335397241649978,33,44,37.9,44,0,0,0,0,0,0,0,500,500,0,500,500,500,500,33.8435,34.203,1.8582969990940914,30.616,36.904,31.371,35.8852,4.877074225804108,4.671415835707694,0.6743030678897793,4.193585101079985,6.687042993730497,4.2740815878287375,5.824868164115468,0.5671097153886587,0.5667624452367173,0.017094228302685997,0.5375100436556098,0.5995098201428798,0.5417032085427751,0.5844489789065271,0.8338881415287516,0.819667656603305,0.04425081553347415,0.7672922083679008,0.9247450497256632,0.7765481885864021,0.8889427377091511,0.7482153498835002,0.7463664732617459,0.057407287488552276,0.6642311400724952,0.9017374492227209,0.6963187097786756,0.827185358542081,111.7,112.5,10.558608361252714,91,132,100.10000000000001,122.10000000000002,91.05,91.5,10.091554572225755,67,111,80.1,99.9,1.0091994448850885,1,0.09979508247097665,0.6774193548387096,1.1111111111111112,0.9213942307692308,1.0978110599078341,10,10,0,10,10,10,10,185.9799171928716,182.70459919145281,10.45426722114561,173.9648050219567,206.21466982654547,175.80104549093906,203.2892574374299,0.004812498761464603,0.004744480081478309,0.0006238554770221141,0.0033626487414617897,0.006143745018818581,0.004250500026570177,0.005452505927933456,2.298088742950921,2.303864048545982,0.014012526790205149,2.2733265144638373,2.320402072002678,2.277408545709945,2.310666133817995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,500,38.55,39,2.8557421378504637,33,43,34,41.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,32.968199999999996,33.305,2.5074236641578835,27.76,37.252,30.340799999999998,35.4764,4.2546142915909595,4.4138223160672805,0.4218146634545008,3.5803078079964052,4.779320035318832,3.6844234318418976,4.723345115785282,0.5745933399958145,0.5731744420868334,0.017383188362705488,0.5474820930731028,0.6155282318345352,0.5554967847986533,0.5977034697250998,0.8556229702406908,0.8629086882724899,0.03958439399165062,0.7878474854219655,0.9298083938603029,0.8002311835962727,0.8941732133068616,0.7456250744041901,0.749169847566735,0.03680460087312058,0.6750195757370554,0.8332439858269595,0.6896654524300876,0.7814008675644255,101.85,102.5,10.926910287041467,81,120,85.89999999999999,112.60000000000001,83.3,81.5,9.979452574375538,63,99,71.9,97,1.030334039674784,1.0357598978288634,0.09476450432002816,0.8333333333333334,1.2222222222222223,0.9031250000000001,1.1110526315789477,10,10,0,10,10,10,10,164.78841143759115,162.48603269718444,10.919221667519741,146.17976714179738,198.13936075196247,151.96762430836702,173.66955576038214,0.005654883495857322,0.005546001175791888,0.0009116142302092999,0.0038763847985391724,0.007847195291485944,0.004520710406640632,0.006573554600254342,2.302852543288078,2.3070510558454846,0.014573435052147097,2.2621135042597365,2.3193536406050494,2.289306412354841,2.3161474683667542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,500,38.35,38,2.433861994963214,34,43,35.9,41.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,32.3746,32.532,2.802664378953112,27.806,37.68,29.1204,35.333400000000005,4.52183324812315,4.365339547122012,0.6689486457892276,3.618381406098591,6.065138085814696,3.8281038816786324,5.364077802768763,0.5795440662686936,0.5832461602177124,0.0263892952012728,0.5269407807905229,0.6534719342108889,0.552812763022057,0.5970521548211599,0.8488730453714164,0.838600144805367,0.038400371139593624,0.8038423458040351,0.9439152745231807,0.8127603296006121,0.8983121485029967,0.7397712500903936,0.7301402607564486,0.04374911607540437,0.6668422131589624,0.8245979987324814,0.6877787469345369,0.7863496697384758,92.65,92.5,10.820424157461131,69,112,80.8,104.70000000000002,74.3,74.5,9.868077186991448,52,93,62,86.30000000000001,1.0066137247826679,1,0.07407008393197066,0.8928571428571429,1.2,0.9500369549150036,1.1057894736842107,10,10,0,10,10,10,10,147.11930114901114,147.00051485140926,18.0239169170723,115.1268875741108,193.4053371841703,127.18975823993293,163.71882504809588,0.005718791568014142,0.005746593154433056,0.0006568470330901908,0.004642255756021279,0.007068012358809739,0.004884962083868127,0.0065436416729341175,2.3049025755150927,2.308316367625863,0.012791368244812761,2.263831352410888,2.319567660773204,2.2934988950362274,2.3161474683667542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,500,37.2,37,2.142305693455191,34,41,34.9,40.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,31.665899999999993,31.404,1.7211897323470304,28.71,34.792,30.206,34.0198,4.080190480335712,3.851535093928109,0.6008357724456496,3.387693020331094,5.454816587200712,3.589782223062599,5.023644504697385,0.5644723884039913,0.5636553187167619,0.021593956664631125,0.5322435136850043,0.6158387381120645,0.541389322963232,0.5892740881920536,0.8208746528176392,0.8112533299791544,0.05018505069581812,0.7439753232403201,0.9095356967318837,0.747050466949078,0.8843297774358745,0.7221725125544393,0.7211604792885804,0.04506276278547986,0.6337631632837358,0.8046333155253598,0.665527602368518,0.7645656404319926,83.15,81,9.729364127001798,69,107,70.8,94.5,65.95,64.5,9.97087864998023,52,92,53.800000000000004,79.3,1.0151478829484495,0.984375,0.13498975597225812,0.84375,1.3846153846153846,0.8810023310023309,1.1449494949494952,10,10,0,10,10,10,10,132.25425419587484,131.70378062473964,10.366751191685157,113.2165297491169,148.99738647597175,117.97706766532444,145.46466488535847,0.006666596885935544,0.006773255222605941,0.000673930233501235,0.005070618336311954,0.007705066471841222,0.005797398819157349,0.007343458224896957,2.3041065464447152,2.3110980365411002,0.01566914722335893,2.267810218315077,2.3189020158434155,2.2815580950273517,2.31879246392058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,500,34.8,34,2.092593455122388,31,38,32.9,38,0,0,0,0,0,0,0,500,500,0,500,500,500,500,29.572700000000008,29.387999999999998,1.4999246682838157,26.922,32.806,28.0776,31.4274,3.65623027854112,3.545757803482978,0.6076785423397376,2.6061243255071287,5.266725738065353,3.082263069813649,4.379501594577135,0.5656992026570766,0.5715177660422582,0.025333678423435316,0.5247884162535945,0.6176355561404372,0.5313654312395176,0.591282807317399,0.8157849867405353,0.8199659190693234,0.0433425863958911,0.74305933257284,0.8906036201767913,0.7602018103328384,0.855837365967602,0.6740697362533535,0.6540544992011508,0.047175965724069444,0.6121356286907949,0.7782449742287659,0.6305994201177945,0.7460629758541302,73.3,74,7.588772870774992,54,91,64.9,81,58.5,59.5,7.416198487095663,40,73,50.5,65.30000000000001,1.0216923507062823,1,0.09968312906816024,0.7647058823529411,1.1538461538461537,0.9154761904761904,1.1439560439560439,10,10,0,10,10,10,10,113.09522041222783,114.37685181155419,9.323056906810123,96.20386483707017,128.28386796519987,100.37240662228844,124.5672122110685,0.008049872165071675,0.007736923752239127,0.0009697834718591549,0.00643840962923464,0.01016448297189724,0.007036444686469144,0.00934593162902717,2.2943095957435764,2.2997003457083958,0.018494678246500307,2.2569089895583545,2.3189020158434155,2.262533262326852,2.311805196423248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,500,34.55,35,2.5438263760679396,29,39,31.8,37.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,29.007099999999998,29.063,2.6105479541760253,23.462,34.628,26.463,31.4666,3.77567484066605,3.51622415722471,0.8185458850022436,2.9323158083671714,6.515721295451486,2.9773730512674184,4.488146928340805,0.5707945093134612,0.5720216907931706,0.023068631457567393,0.529226925053176,0.6080570378680273,0.538169631122019,0.6002075298352195,0.8305283242755179,0.8323887508499133,0.05725536917128146,0.7225710957280964,0.9272775886246472,0.7673905217392077,0.9014125782563174,0.6624325315366246,0.6571989319808833,0.06339225682819861,0.565004479067102,0.7769882562203313,0.5712780645473547,0.7432089823737431,69.6,68.5,10.669188298430598,54,98,57,81.4,55.05,54,9.561298084079985,40,80,46.4,65.4,0.9979696338918307,1,0.1514408251307031,0.7727272727272727,1.4444444444444444,0.8508771929824562,1.1516483516483518,10,10,0,10,10,10,10,104.93922957060188,103.5550993133046,12.992961428024218,86.78996628849814,133.9044534858811,89.7530747250957,125.00632944177444,0.008362456094488496,0.008531927560555356,0.0011381096442898645,0.005381063654335942,0.009777288432012565,0.00713541306490969,0.009608244549803647,2.296118785409012,2.2979689896130133,0.018231534638832068,2.249803844846997,2.3183692540329317,2.273105338748202,2.3140154482997177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
