parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
1,0,500,28.4,28.5,1.9574419397183715,24,31,25.9,30.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,24.1299,24.213,1.3064322610191392,20.092,25.89,22.992000000000004,25.639799999999997,2.305799070790946,2.4176131951427786,0.4332127775969626,1.3419329342407547,3.2724645147044793,1.768028514856426,2.684004557961597,0.5691101083252607,0.5785171689326807,0.023023985791352876,0.521063052903539,0.5969335937815039,0.5406317636749997,0.5945640201609774,0.8060543764654877,0.801152373722056,0.054537744607959696,0.7317064516982763,0.9178353124554702,0.7395772043566449,0.8710188314132598,0.5256886992115155,0.5345916094097277,0.06250693940958438,0.3985128137040792,0.6149239295987315,0.43169659877437205,0.5854849017641056,30.8,32,3.791958249825683,18,35,27.8,34.1,22.4,23.5,3.424370860387888,13,26,18,26,1.1939285714285712,1.125,0.1935944244279536,1,1.6,1,1.5100000000000002,10,10,0,10,10,10,10,444.5409924968526,451.1919938264333,28.446136841939836,381.44273214437834,492.4623889617777,415.248737484359,476.6505951426604,0.0013840591653553871,0.001293544693629659,0.0002589476870994093,0.0010284122269641996,0.0018834402207176441,0.0011348644513794405,0.0016980441879981753,2.2610490763739968,2.2729778459241174,0.040550934331858184,2.1819011889093374,2.3163332805628034,2.200786053793934,2.3035461356085816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,500,23.85,24,2.084403234046921,19,28,21.900000000000002,26.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,21.005799999999997,21.025,1.2806503117762595,17.396,24.208,19.964199999999998,22.016000000000002,1.6908589688342943,1.661817904599391,0.27815245254248255,1.2963888305597198,2.21439924132935,1.3570883440365404,2.045967554529958,0.5875107399068393,0.5903184087047282,0.025723143366778004,0.5394725962380287,0.6401432498632917,0.5571479294390868,0.6195462001472712,0.8065121413781741,0.8027184629038393,0.05592153523515311,0.7235144838788239,0.9215137680815287,0.737860387450709,0.8870365574267137,0.6221669656544686,0.629411873751814,0.07095719037593891,0.4423451340156934,0.7605923073507793,0.5556744439106609,0.6950844351646686,37.65,36.5,4.625728961045235,27,48,33.9,43.1,33.8,34,4.287067455548262,27,44,28.900000000000002,38.300000000000004,1.2021302308802309,1.1666666666666667,0.15806702942972436,1,1.6666666666666667,1,1.342857142857143,10,10,0,10,10,10,10,298.44563409764794,294.1526519592422,26.337583202283195,253.9614980054668,345.9528459756933,268.8452783170556,328.2867803283245,0.001856717774327389,0.0018378927470759324,0.00034094086517970633,0.0013561030079131198,0.002571305273834674,0.0014651249041196291,0.0023039654423548813,2.279593699771485,2.2870776027772006,0.03300226503782856,2.1829316468984663,2.3136088506956893,2.236148149466766,2.313151484843761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,500,22.3,22.5,1.8666040089734595,18,25,20,24.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,20.168400000000002,20.189,1.4938943244525629,16.79,22.808,18.3508,21.9184,1.6386406363664885,1.656265057511125,0.3001123734246124,1.1620602394024122,2.1870674429472823,1.2766052596943913,1.964911346475148,0.5823079042281569,0.5807008722169654,0.0313817542256654,0.5244377560342861,0.6371097320176521,0.5374219334045365,0.6178624961712792,0.795229898840119,0.7840944377294818,0.055361426117231084,0.690324815468462,0.8967843072653006,0.7455883872700022,0.863840497078,0.77361996885757,0.7741309658971494,0.046103676850427336,0.6425050258313967,0.8455168262869979,0.7352875186729909,0.823839211930165,35.35,37,5.343712488326325,24,43,26.8,41.1,33.05,34,4.86096156829295,21,39,26,38,1.1763265002970884,1.125,0.15863265099722995,0.9411764705882353,1.5,1,1.4285714285714288,10,10,0,10,10,10,10,221.83465849472782,220.83928404142543,17.75413823991599,188.00940301762424,251.55338330350722,201.7841579749262,241.9180815260596,0.002760070185419793,0.002825494556214184,0.0006160677448374019,0.0016976660613321776,0.004060226329439171,0.0020282935464689057,0.00338495630010979,2.256197775420676,2.266937680084574,0.04450519262793025,2.185475297227334,2.3136088506956893,2.1947878473685765,2.3054875374735886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,500,21.25,21,1.8027756377319946,18,24,18.9,24,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.539,19.362000000000002,1.426322396566558,17.018,22.436,17.474,21.0976,1.7047873784103893,1.697874162329406,0.3345117328012782,1.0808496657722564,2.472326030279992,1.3842433817710806,2.1364421102455404,0.5872684552314225,0.5842105266836531,0.026059529277628585,0.5380873113148772,0.6303985013582718,0.5557027028201255,0.6207159219783192,0.8072547527235081,0.8036989426440226,0.06560347841141968,0.666463124777494,0.9463929636659106,0.75178298020212,0.8891451796327676,0.7909135252618962,0.798813649062223,0.03732330808454649,0.7037594452053699,0.8455334759418706,0.752726650933627,0.8345586824560881,35.1,35,4.216508907665328,30,44,30.900000000000002,42.2,33.85,33.5,3.587624929055286,29,41,29,40,1.0567628205128206,1,0.15751138443667995,0.8,1.375,0.9116666666666666,1.3333333333333333,10,10,0,10,10,10,10,184.74414894968027,186.72587902400267,11.686471528929253,159.61441889940193,205.82437620517462,168.77385920696966,197.9420399064127,0.0032128059410909396,0.003122511797640181,0.0006013587098759784,0.0021543924304510713,0.004700592101481271,0.0025730339774628934,0.003727210451320286,2.2594572260818175,2.2780401131827093,0.05262080946346538,2.1417876642625675,2.313100666415769,2.166222331784827,2.304585169337799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,500,20.35,20.5,2.084403234046921,15,23,17.900000000000002,23,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.9654,18.904,1.5693485205483735,14.908,21.178,16.83,20.8516,1.6368610220927373,1.4978343933456881,0.4316148311601272,1.181312829016936,2.9488194247868083,1.2543770248111115,2.2163258957222727,0.5881568391678841,0.5935486249675603,0.03196304446445336,0.5288439378641756,0.6538008198446734,0.5425822717469618,0.6142874195252597,0.7930163918961968,0.7836404799678927,0.04919747706262036,0.7221737553078238,0.8872926598472277,0.7359271595471683,0.8521451782091978,0.7882189196512643,0.7932326780705832,0.039831474545102115,0.6862348477965162,0.8432770652551224,0.7514745491380554,0.8328786770642304,30.45,30.5,5.062504061076993,16,38,24.9,36.2,30.1,30,4.3637260756328295,19,38,25.799999999999997,35,1.0079743867243867,1,0.0955649630756865,0.8,1.1428571428571428,0.9081818181818181,1.1267857142857143,9.95,10,0.22360679774997894,9,10,10,10,161.6459524568591,161.2351259405907,13.14433832181775,141.2371224008886,196.54190059549816,146.710096339991,175.24628951450228,0.0037244332637076634,0.003333281975833426,0.0012576567650028087,0.002236851446952538,0.007447646401809477,0.0026015990369909064,0.004847162722094906,2.2394761380279995,2.271725025020681,0.0963244499119962,1.8776402831734211,2.313459750171824,2.1799443045959217,2.298576328607886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,500,20.3,20,2.2734161635370636,17,26,18,23.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,19.3043,19.459000000000003,1.491091479420361,16.686,23.206,17.861,20.8684,1.3097253731150418,1.320706986681011,0.29794886000375864,0.8775670914522715,1.8983824693670155,0.9660174792741145,1.7198506162987108,0.5875876507533383,0.589392084557679,0.025188294229208073,0.5428731715836077,0.6262559547451901,0.5603693800153378,0.6238783441648721,0.8096279135242408,0.8153229158914286,0.05085903692988729,0.7311112411021709,0.9054326699296189,0.7388904060414403,0.8651379118073346,0.793520079974827,0.7877513247833976,0.02637933664635523,0.7524290157002353,0.8440658130494918,0.7672034149385437,0.8276761055045104,29.85,29.5,4.693500545266939,20,37,24.7,36.1,29.55,30,4.406633755218555,23,38,23.9,34.2,1.0111489898989898,1,0.12165920436102098,0.7777777777777778,1.2222222222222223,0.8833333333333333,1.1325,10,10,0,10,10,10,10,143.0492676346227,144.88432635210995,11.59385780010748,117.29886783982494,167.36510192525222,131.91552063181933,155.21630065557767,0.004441628141704163,0.004077938744423823,0.001151348994107599,0.0027305964641498297,0.006730698715758868,0.0034462008639823028,0.006163861922725518,2.267149213584439,2.273019489334284,0.036626893621714555,2.165957320949175,2.321928094887362,2.2387683200633623,2.3088046361513035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,500,19.45,19,1.6050905860647509,16,22,17.8,21.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.967100000000002,18.82,1.0760460712109035,16.686,20.766,17.598399999999998,20.3836,1.2669552233861026,1.2903893959324373,0.26923021245702095,0.7829457197022045,1.8533634290122405,0.9556560585204501,1.6050493135257198,0.5811314069920559,0.5804162166034323,0.02740847554789856,0.5330402434508262,0.6405438951318527,0.5444211623991178,0.6144551129121606,0.7953160140908311,0.7884320437539116,0.06535950695508826,0.7011146132998751,0.9299511810341763,0.725409029267141,0.8812701233769245,0.7806315918555786,0.7780683165409241,0.02868403915696342,0.7101378135282367,0.8289950714631605,0.7565512021091482,0.8195519104282457,27.5,27,4.298102396468273,20,35,21.900000000000002,34,28.05,28.5,3.379115424579572,21,35,24,32,0.9293874181374182,0.9230769230769231,0.11565956456878297,0.6666666666666666,1.1428571428571428,0.7977777777777779,1.0125000000000002,10,10,0,10,10,10,10,134.49584568330803,131.15815999190505,10.884837813554245,118.74082660537242,157.56932877734775,123.36167312434239,146.74507506206416,0.004730500437042143,0.004415449679153891,0.0016203235471306625,0.0029885232080014675,0.009637858565762991,0.0031763548695940254,0.006386540390385856,2.2180015693731,2.244124179203684,0.08687133050364447,1.9784845935086515,2.303701696057348,2.101794185560096,2.294677600603656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,500,18.6,19,1.8180382718454349,15,22,16,21,0,0,0,0,0,0,0,500,500,0,500,500,500,500,18.023600000000002,18.003,1.5125754404848357,15.248,20.76,15.6672,19.569200000000002,1.3217131562169218,1.2481022963474424,0.2840072880516007,0.8270332520521765,1.9926103482618014,1.0824645572869507,1.7981167532480415,0.5797135158260267,0.5760994014805765,0.033149354502521586,0.5215519925274844,0.6486711752652428,0.5367164741247598,0.6191258563711045,0.79281828999052,0.7806808119615034,0.07015233399091451,0.6919313589665839,0.9346811037819223,0.7242124667725837,0.9060136117736723,0.7710827017309605,0.7728913009600807,0.026111605086927236,0.6916844902244015,0.8155911977827554,0.7386129098794277,0.7942665173189958,22.4,22,4.558393068661483,12,31,17.6,28,23.8,24,4.162489133856529,17,35,18.8,28.1,0.981111111111111,1,0.10462656760342012,0.75,1.1666666666666667,0.8300000000000001,1.106666666666667,10,10,0,10,10,10,10,120.39976019574883,118.13554618482377,11.555143770752474,104.93527489346381,144.41357469453692,106.57444657890088,134.66032056897782,0.004352068963282553,0.004067787627580411,0.0010305647349971732,0.003022097403005842,0.007451415962883132,0.0034971962794889465,0.005205300993712499,2.249345522457926,2.2607845582978525,0.052094276182819886,2.133206219346495,2.315667876377007,2.179984535440882,2.3087538177233116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,500,18.3,18,1.559352092174318,16,22,16.9,20.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.980200000000004,17.953000000000003,1.0690576076250768,16.12,19.806,16.619,19.6594,1.342306532665536,1.3335976639289429,0.21245723374841935,0.9474513180105885,1.6510299815569636,1.058128083708327,1.6089641502967045,0.5861262299641863,0.5872855557910905,0.025562237902905963,0.5406499353357325,0.6487846125929579,0.5484066023780071,0.6095640447976348,0.7835596343450011,0.7979307219128313,0.04294037800884574,0.6953208161842003,0.8578815341668637,0.7302326331837314,0.8190955865107812,0.7544560331256255,0.7569374050788396,0.03931604602732118,0.6954190773330401,0.8534525776480225,0.7093092453629045,0.802744950440308,23.1,23,3.5821193373990794,16,31,18.9,27.1,24.8,25,2.912766816330444,19,29,21,29,0.9799007936507937,1,0.15652707097950763,0.6666666666666666,1.25,0.7977777777777779,1.1535714285714287,10,10,0,10,10,10,10,104.65912874041157,104.49164605292874,8.188669986817274,91.9351724981965,125.44431479367533,93.14747617058926,113.18029047821487,0.005364642547031026,0.005078425794823404,0.0013627491994270002,0.003560458479322734,0.00856979123661432,0.003744104679382965,0.007190849871353445,2.2333591800726027,2.2326340812232015,0.06121107384246844,2.0762893592941096,2.315667876377007,2.17755503220549,2.308789726098917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,500,17.5,17,1.7013926184468013,15,21,15.9,20.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,17.615299999999998,17.609,1.1245522664598564,14.858,19.642,16.541999999999998,18.933200000000003,1.4311743955927316,1.4075182470313155,0.34283469915854825,0.9115678800835414,2.0502682751288974,0.9340225109064465,1.8832312341229538,0.5902956913100966,0.5897384121341958,0.02632282851872052,0.5460046057703383,0.6309769097865439,0.5569350975794969,0.6304193584635954,0.7901286518525594,0.7920718520221126,0.04167578931724593,0.7003454349121975,0.8582117204171756,0.7475641788481876,0.8354419518591977,0.7171532525556831,0.7114699481572118,0.03812541019436932,0.6633211601488628,0.7906743549038248,0.6725120518690507,0.768645010539607,19.9,19,3.8099592482970484,16,30,16,25.300000000000004,22.4,22,3.2509108035489964,17,30,19.900000000000002,27.200000000000003,0.9946446608946609,1,0.13110687763464687,0.7142857142857143,1.3333333333333333,0.8547619047619047,1.1100000000000003,10,10,0,10,10,10,10,95.10733519309159,94.00916529851239,8.046452598461048,84.04129995979318,106.46826287352818,85.51740867877369,105.802668582104,0.005337628204989271,0.0048683477947522235,0.0015874263642856915,0.003468909113224733,0.009931451489542664,0.003913788446269012,0.007285635052704608,2.2174117589480837,2.2501692953414345,0.07318017803211638,2.063558608511122,2.3071885761626683,2.107735252622104,2.2860958214596554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
