parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.00001,0,500,52.2,52,3.3848401523768974,46,57,47.8,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.005217013208468166,0.0008245394866887038,0.017021666688931764,0.0007712566939792536,0.06674662058008742,0.0007978018603703434,0.0008488213167573346,0.5462602631996452,0.5438178479773811,0.031119128276722034,0.5044146401924864,0.6009559705676198,0.5094593888587611,0.5910517775465823,0.5382767901407273,0.5410886623954227,0.016347460462237416,0.515337088735403,0.5577433022393582,0.5175899891230129,0.5556311023055683,47.07786666666666,47.642,2.247938924776162,40.618,49.672,45.372,48.980000000000004,6.784910866292354,6.811924544502808,0.7245988075686703,5.14743392381098,8.107847803208953,6.16770940739249,7.634227274098838,71.86666666666666,73,5.054936295580879,57,77,68,77,39.666666666666664,39,4.73085112648373,31,48,35.400000000000006,45.599999999999994,1.1477547403863193,1.0909090909090908,0.28932569512293366,0.5789473684210527,1.6666666666666667,0.8436363636363637,1.4933333333333332,2.4,2,0.632455532033676,1,3,2,3,24.06720244931311,23.716584635856982,1.4104564590144346,21.929743881466454,27.03513307554709,22.575242126329066,26.067017569596086,2.3164680815543033,2.3177514823046135,0.004368644938921153,2.3038337906217836,2.321928094887362,2.31275134152178,2.3201949064327834
0.00002,0,500,52.6,53,2.7464262493023806,47,57,49.400000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.003792460924503793,0.0008312362015258677,0.011508376791897354,0.0007472675471097921,0.04539259207793328,0.0007775569777620084,0.0008608786056588313,0.5334622334777528,0.5171034095356137,0.046373976700556326,0.4814564154303482,0.6708570022262418,0.49313459254176245,0.5648626506494264,0.5463453646549641,0.5470508796859499,0.015639112252234903,0.5194595203512198,0.5837452024211565,0.5320721965453419,0.5624210320158918,48.50520000000001,48.63,2.316060546950977,42.146,51.728,46.7868,51.184,6.5626853695680865,6.523335036620452,0.562081279128516,5.448541456206425,7.342507473608729,6.008891323393545,7.206362482347787,76.2,78,7.4565407529228995,59,84,66.2,83.6,43.6,46,6.322296147083635,32,53,34,49,1.070740740740741,1,0.3001650535569342,0.8333333333333334,2,0.8333333333333334,1.3,2.6,3,0.632455532033676,1,3,2,3,69.2309600914628,68.56235535162833,4.569493498803381,61.557507212934574,76.26782113611026,63.90169925891004,74.54045769489093,2.317404907528631,2.3184873629704748,0.006070256313063092,2.2972933099565753,2.321928094887362,2.314265931488765,2.3210238286880513
0.000030000000000000004,0,500,53.46666666666667,53,1.9223002094465096,50,57,51.400000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008286106644178116,0.0008279858537496896,0.000028673676336894372,0.0007755733568645901,0.000876077420896114,0.0007955880341794888,0.0008612163654705917,0.5485985418034954,0.5494573296419449,0.03502143884404269,0.4806065941704004,0.5941907873734324,0.49961829782134193,0.5891541779365653,0.5489158312606749,0.5536880754529927,0.0208897081986612,0.5192947369650669,0.5867187850673344,0.5260692868895833,0.5756877881949061,48.95693333333334,49.342,1.9240372533765941,44.374,51.798,46.8288,50.7076,6.914690167588751,6.993556748893925,0.4940507705092762,6.106218142189178,7.91038077465301,6.283324258703786,7.368559947435443,76.93333333333334,77,5.483308003994183,66,86,69.60000000000001,82.6,43.46666666666667,43,5.488516149544385,33,51,36.2,50,1.1168894993894996,1,0.30663119031126373,0.6666666666666666,1.75,0.7865384615384616,1.4777777777777779,2.533333333333333,3,0.5163977794943223,2,3,2,3,159.36373578482664,160.43924114809647,7.82808572855158,142.42142893655523,169.42804334421396,149.54477661956975,166.58688188542362,2.3144841817478636,2.315172311534353,0.0056477187478454535,2.3043238327835596,2.3209194990354183,2.307150266408474,2.3203769580956886
0.00004,0,500,53.4,54,2.097617696340303,49,56,50.4,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.00155028524798525,0.000852023209910315,0.0027201894119938358,0.000797304732942065,0.01138261212644112,0.000810401245301793,0.0008954937112332207,0.5438189438586768,0.5549478770952736,0.02772412203298539,0.4994721706251231,0.5787076276286568,0.504342723388818,0.5720619954356012,0.5425617758821443,0.5310187706407039,0.022094434284300076,0.5086287456526494,0.5809594486564164,0.5256481017520435,0.5708117060779391,48.554399999999994,48.934,1.6185593594304775,44.762,50.738,46.8896,50.406400000000005,6.777704771461802,6.944550669409795,0.5617637062705725,5.41307269487487,7.483383192113039,6.057330939076321,7.24910886449402,77,78,5.94017796751194,62,84,71,83.19999999999999,43.6,45,5.840743592581831,27,50,38.4,49,1.020029785029785,1,0.177424273684973,0.6363636363636364,1.3,0.8632478632478633,1.238888888888889,2.4,2,0.6324555320336759,1,3,2,3,263.00507975015694,260.86104001159924,12.70599515269225,242.8891574776577,287.2987859974689,249.9348788833255,283.18977808458953,2.316513577648754,2.3203370555133724,0.007373758330369856,2.298926410851498,2.321928094887362,2.3046902642343827,2.320982096826998
0.00005,0,500,53.6,54,2.0632844828435215,50,58,50.8,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008679327320112532,0.0008666796233515369,0.000022801000969304143,0.0008382767509963119,0.0009184952456077589,0.000847346603369078,0.0008989760279098872,0.5499336356169781,0.5491724915759252,0.032573464746557236,0.4924078144512413,0.6028941788364497,0.504280048035091,0.5825154751775764,0.5494646787804545,0.5450745539058679,0.01944899379724255,0.521867495850098,0.5907166958436415,0.5269581909565415,0.571304014308812,48.497866666666674,48.998,2.5191055631106924,41.55,51.964,46.2448,50.8408,6.718311363977861,6.8904278531887995,0.46227838317320646,5.76779854017111,7.293245916599817,6.197426189022573,7.191369442553562,76.26666666666667,78,7.5919757137450885,55,89,71.4,82.19999999999999,42.666666666666664,42,7.0777989583795105,25,56,38,49.599999999999994,1.2387280693163047,1.1,0.332937829982209,0.8823529411764706,2,0.9454545454545454,1.7181818181818178,2.3333333333333335,2,0.6172133998483678,1,3,2,3,374.7856932954613,376.8274526535113,19.569197738463483,337.2611636604755,402.430416579915,346.4963775103371,394.6557355937025,2.317983945559982,2.318487362970475,0.002503304298998948,2.3129350396193686,2.3209194990354183,2.314364681606652,2.3203769580956886
0.00006,0,500,53.13333333333333,53,2.695675549220764,49,58,50,56.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.007568799037661804,0.0009048194432145868,0.019515287121602463,0.0008717324650965948,0.07324698064303478,0.0008742818098264459,0.01751951342325308,0.5538249093759259,0.5572445181331994,0.029820339753631356,0.5037421731493181,0.5907390991887561,0.5178947391779062,0.5886442539399209,0.5414732352463708,0.5477435506601375,0.01979827984605442,0.5069688420666126,0.5758107006357444,0.5131478483016293,0.561554557589266,48.82159999999999,48.956,1.3792758348392202,46.162,51.034,47.0324,50.494,6.696828868775421,6.83800087744947,0.6432186106405527,5.632694204375008,7.698064951661525,5.770330976804653,7.436548511091392,78.93333333333334,77,6.912376753400553,67,91,72,87,45.8,44,7.902983161891645,33,58,36.8,56.800000000000004,1.1079605579605578,1.0714285714285714,0.2545519058076689,0.6666666666666666,1.5555555555555556,0.8409090909090909,1.4166666666666665,2.533333333333333,3,0.5163977794943223,2,3,2,3,465.23241996562314,465.596612113644,22.10067941665177,428.69967860659983,494.8738668980199,433.2916169817039,492.74085904597064,2.3164592783341384,2.317898932671029,0.004860115150391306,2.307418114264353,2.321928094887362,2.3082612762828774,2.321437130835845
0.00007000000000000001,0,500,52.333333333333336,52,2.3196879921559237,49,56,49.400000000000006,55.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0009244316211200631,0.0009136645560832831,0.0000310113687231106,0.0008844139249073056,0.0010075576818856461,0.0008996597761151794,0.000959748611279823,0.5712527576956795,0.5801247408164254,0.046968591403192,0.48732532372929427,0.6455592769108648,0.5117312461654341,0.6247218644522035,0.548649548788039,0.5516054060699984,0.023491510812785,0.5094565357790715,0.5875389932456839,0.5144103547535127,0.5757329275090727,47.56146666666666,47.948,1.9275380991849476,44.758,50.784,45.0516,50.088,6.826018631175306,6.747045575657546,0.757049191773761,5.689323334105723,8.122910562107684,5.799092262645169,7.687908595012411,77.8,79,6.189853448530565,68,88,70.80000000000001,84.6,45.46666666666667,45,5.591660457025861,38,55,39.400000000000006,53.4,1.1497643859408566,1.2222222222222223,0.2507334170668718,0.7333333333333333,1.625,0.7972850678733032,1.4,2.2,2,0.7745966692414834,1,3,1,3,552.327121835692,552.0181963665249,29.05164664128631,496.76146260014997,609.5349564598047,518.4304206582234,576.0739873793138,2.3171574842741753,2.3175579993548374,0.002619397167792927,2.3116033690667215,2.3209194990354183,2.3144958829120275,2.3205552330604906
0.00008,0,500,52.733333333333334,54,2.3441924185608345,47,55,49.8,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.001625737456334212,0.0009446775586109151,0.002608153686481076,0.0009120549038507956,0.011053117728235442,0.0009238455057484385,0.0009990394992472282,0.5771416563032391,0.5792186628178189,0.030749196223055223,0.5111587610528326,0.6114000753478859,0.5439989670679074,0.6110400258315827,0.5453984513884252,0.5440923058806552,0.01931630551790844,0.5092923831784748,0.5902471661371875,0.5254586881062843,0.5627301051646975,48.14813333333334,48.638,1.8669639933273896,45.316,50.978,45.721199999999996,50.3484,6.583166862597839,6.676705774556764,0.5065143410679891,5.498012731887767,7.531071371325582,6.01787054969738,7.113172627506251,76,76,6.855654600401044,65,89,68.4,85.19999999999999,43.266666666666666,41,7.713315635654883,31,59,35.8,54.8,1.1575276575276576,1.0909090909090908,0.26502514797236415,0.8333333333333334,1.75,0.8886363636363637,1.4833333333333334,2.6666666666666665,3,0.4879500364742666,2,3,2,3,661.4192571592187,667.9560826712326,35.93195886342475,570.08826953706,716.7421372398076,626.605962915948,703.0398947909611,2.3176698006795626,2.318487362970475,0.003655424504996181,2.3074128889934054,2.321928094887362,2.314085077074658,2.320654557826999
0.00009,0,500,52.733333333333334,54,2.404361117002265,47,56,50,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.005026786083630854,0.0009718626265195496,0.01074724227417941,0.0008747966892423146,0.03316439143319339,0.0009321380306565265,0.018246566859779902,0.5616051871489526,0.5656066972388699,0.0277210389836102,0.5148008179786152,0.6154478660296678,0.5250247240303691,0.5869690244052355,0.5456593843564356,0.5430742712117255,0.017838551873315855,0.5085930250737906,0.5769445365731921,0.5288721435422791,0.5680634873184653,47.89093333333333,48.218,2.1522123987942754,42.96,50.044,44.7392,49.804,6.634258997538939,6.676680612400136,0.5045808234568072,5.536431702820883,7.454737017494313,5.967294426630469,7.1138468523914495,78.6,79,6.231257612117433,70,88,71,86.4,45.86666666666667,47,5.667787004096883,36,56,38.8,53,1.2254086654086653,1.2727272727272727,0.27354946050075973,0.75,1.7142857142857142,0.8166666666666667,1.5206349206349206,2.2666666666666666,2,0.7988086367179803,1,3,1,3,744.9455483119417,750.1314066601186,36.03520221531077,673.354796791585,796.2525985358862,701.1536450445095,787.5976201901528,2.314951902663229,2.315811234817811,0.007486479887283354,2.2980498671359517,2.321928094887362,2.304307593372364,2.3215246565465844
0.0001,0,500,51.733333333333334,52,2.7637104114026196,47,55,48,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.001009322680226429,0.001015083733392844,0.00004792726304784332,0.0009366417375623529,0.0011074927112558512,0.0009443245809544584,0.0010618818960154823,0.5785802898005786,0.5755036916654841,0.033127803439147216,0.5190320736252461,0.6515721295184165,0.5451210391159849,0.6040114595184299,0.5374292311573234,0.5408975226301711,0.01678053765858426,0.4951687152293162,0.5667721312601112,0.520493881531422,0.5494310063868897,47.99666666666666,48.592,1.7037407023817863,44.736,50.674,45.6768,49.7716,6.526155271814568,6.610136155935062,0.6473595006146294,5.440799941185117,7.601153596658868,5.66096146918299,7.267686421121137,78.53333333333333,79,3.8705235280194814,71,85,73.8,83.6,46.8,46,3.7071359757712075,40,54,43,51,1.1060500610500612,1,0.19977397887391038,0.8571428571428571,1.5,0.9066666666666667,1.39,2.6,3,0.5070925528371101,2,3,2,3,810.2108471219395,812.0814438212358,32.84247453768597,742.2610507229157,852.1051416702414,771.6279176753778,850.1076532815702,2.317737845011679,2.3195401794781447,0.004690431167823768,2.3065651026787735,2.321928094887362,2.3099822255161735,2.320654557826999
